================================================================================
                    PROCESSES WITH EMBEDDINGS
                    GENERATED WITH REFERENCES
================================================================================
Generated on: November 03, 2025 at 10:29 AM
Total scenarios with embeddings: 811

[11111] Custom Project (Manual Configuration) | Software Development | Small (< 6 months) | Information Technology | PMBOK
[24123] Custom Software Development | Marketing | Small (< 6 months) | Construction | ISO Standards
[24131] Custom Software Development | Marketing | Small (< 6 months) | Healthcare | PMBOK
[24132] Custom Software Development | Marketing | Small (< 6 months) | Healthcare | PRINCE2
[24133] Custom Software Development | Marketing | Small (< 6 months) | Healthcare | ISO Standards
[24142] Custom Software Development | Marketing | Small (< 6 months) | Finance | PRINCE2
[24143] Custom Software Development | Marketing | Small (< 6 months) | Finance | ISO Standards
[24152] Custom Software Development | Marketing | Small (< 6 months) | Education | PRINCE2
[24153] Custom Software Development | Marketing | Small (< 6 months) | Education | ISO Standards
[24211] Custom Software Development | Marketing | Medium (6-18 months) | Information Technology | PMBOK
[24212] Custom Software Development | Marketing | Medium (6-18 months) | Information Technology | PRINCE2
[24213] Custom Software Development | Marketing | Medium (6-18 months) | Information Technology | ISO Standards
[24221] Custom Software Development | Marketing | Medium (6-18 months) | Construction | PMBOK
[24222] Custom Software Development | Marketing | Medium (6-18 months) | Construction | PRINCE2
[24223] Custom Software Development | Marketing | Medium (6-18 months) | Construction | ISO Standards
[24231] Custom Software Development | Marketing | Medium (6-18 months) | Healthcare | PMBOK
[24232] Custom Software Development | Marketing | Medium (6-18 months) | Healthcare | PRINCE2
[24233] Custom Software Development | Marketing | Medium (6-18 months) | Healthcare | ISO Standards
[24242] Custom Software Development | Marketing | Medium (6-18 months) | Finance | PRINCE2
[24243] Custom Software Development | Marketing | Medium (6-18 months) | Finance | ISO Standards
[24252] Custom Software Development | Marketing | Medium (6-18 months) | Education | PRINCE2
[24253] Custom Software Development | Marketing | Medium (6-18 months) | Education | ISO Standards
[24311] Custom Software Development | Marketing | Large (> 18 months) | Information Technology | PMBOK
[24312] Custom Software Development | Marketing | Large (> 18 months) | Information Technology | PRINCE2
[24313] Custom Software Development | Marketing | Large (> 18 months) | Information Technology | ISO Standards
[24321] Custom Software Development | Marketing | Large (> 18 months) | Construction | PMBOK
[24322] Custom Software Development | Marketing | Large (> 18 months) | Construction | PRINCE2
[24323] Custom Software Development | Marketing | Large (> 18 months) | Construction | ISO Standards
[24331] Custom Software Development | Marketing | Large (> 18 months) | Healthcare | PMBOK
[24332] Custom Software Development | Marketing | Large (> 18 months) | Healthcare | PRINCE2
[24333] Custom Software Development | Marketing | Large (> 18 months) | Healthcare | ISO Standards
[24341] Custom Software Development | Marketing | Large (> 18 months) | Finance | PMBOK
[24342] Custom Software Development | Marketing | Large (> 18 months) | Finance | PRINCE2
[24343] Custom Software Development | Marketing | Large (> 18 months) | Finance | ISO Standards
[24352] Custom Software Development | Marketing | Large (> 18 months) | Education | PRINCE2
[24353] Custom Software Development | Marketing | Large (> 18 months) | Education | ISO Standards
[25111] Custom Software Development | Infrastructure | Small (< 6 months) | Information Technology | PMBOK
[25112] Custom Software Development | Infrastructure | Small (< 6 months) | Information Technology | PRINCE2
[25113] Custom Software Development | Infrastructure | Small (< 6 months) | Information Technology | ISO Standards
[25121] Custom Software Development | Infrastructure | Small (< 6 months) | Construction | PMBOK
[25122] Custom Software Development | Infrastructure | Small (< 6 months) | Construction | PRINCE2
[25123] Custom Software Development | Infrastructure | Small (< 6 months) | Construction | ISO Standards
[25131] Custom Software Development | Infrastructure | Small (< 6 months) | Healthcare | PMBOK
[25132] Custom Software Development | Infrastructure | Small (< 6 months) | Healthcare | PRINCE2
[25133] Custom Software Development | Infrastructure | Small (< 6 months) | Healthcare | ISO Standards
[25142] Custom Software Development | Infrastructure | Small (< 6 months) | Finance | PRINCE2
[25143] Custom Software Development | Infrastructure | Small (< 6 months) | Finance | ISO Standards
[25152] Custom Software Development | Infrastructure | Small (< 6 months) | Education | PRINCE2
[25153] Custom Software Development | Infrastructure | Small (< 6 months) | Education | ISO Standards
[25211] Custom Software Development | Infrastructure | Medium (6-18 months) | Information Technology | PMBOK
[25212] Custom Software Development | Infrastructure | Medium (6-18 months) | Information Technology | PRINCE2
[25213] Custom Software Development | Infrastructure | Medium (6-18 months) | Information Technology | ISO Standards
[25221] Custom Software Development | Infrastructure | Medium (6-18 months) | Construction | PMBOK
[25222] Custom Software Development | Infrastructure | Medium (6-18 months) | Construction | PRINCE2
[25223] Custom Software Development | Infrastructure | Medium (6-18 months) | Construction | ISO Standards
[25231] Custom Software Development | Infrastructure | Medium (6-18 months) | Healthcare | PMBOK
[25232] Custom Software Development | Infrastructure | Medium (6-18 months) | Healthcare | PRINCE2
[25233] Custom Software Development | Infrastructure | Medium (6-18 months) | Healthcare | ISO Standards
[25242] Custom Software Development | Infrastructure | Medium (6-18 months) | Finance | PRINCE2
[25243] Custom Software Development | Infrastructure | Medium (6-18 months) | Finance | ISO Standards
[25252] Custom Software Development | Infrastructure | Medium (6-18 months) | Education | PRINCE2
[25253] Custom Software Development | Infrastructure | Medium (6-18 months) | Education | ISO Standards
[25311] Custom Software Development | Infrastructure | Large (> 18 months) | Information Technology | PMBOK
[25312] Custom Software Development | Infrastructure | Large (> 18 months) | Information Technology | PRINCE2
[25313] Custom Software Development | Infrastructure | Large (> 18 months) | Information Technology | ISO Standards
[25321] Custom Software Development | Infrastructure | Large (> 18 months) | Construction | PMBOK
[25322] Custom Software Development | Infrastructure | Large (> 18 months) | Construction | PRINCE2
[25323] Custom Software Development | Infrastructure | Large (> 18 months) | Construction | ISO Standards
[25331] Custom Software Development | Infrastructure | Large (> 18 months) | Healthcare | PMBOK
[25332] Custom Software Development | Infrastructure | Large (> 18 months) | Healthcare | PRINCE2
[25333] Custom Software Development | Infrastructure | Large (> 18 months) | Healthcare | ISO Standards
[25341] Custom Software Development | Infrastructure | Large (> 18 months) | Finance | PMBOK
[25342] Custom Software Development | Infrastructure | Large (> 18 months) | Finance | PRINCE2
[25343] Custom Software Development | Infrastructure | Large (> 18 months) | Finance | ISO Standards
[25352] Custom Software Development | Infrastructure | Large (> 18 months) | Education | PRINCE2
[25353] Custom Software Development | Infrastructure | Large (> 18 months) | Education | ISO Standards
[31111] Innovative Product Development | Software Development | Small (< 6 months) | Information Technology | PMBOK
[31112] Innovative Product Development | Software Development | Small (< 6 months) | Information Technology | PRINCE2
[31113] Innovative Product Development | Software Development | Small (< 6 months) | Information Technology | ISO Standards
[31121] Innovative Product Development | Software Development | Small (< 6 months) | Construction | PMBOK
[31122] Innovative Product Development | Software Development | Small (< 6 months) | Construction | PRINCE2
[31123] Innovative Product Development | Software Development | Small (< 6 months) | Construction | ISO Standards
[31131] Innovative Product Development | Software Development | Small (< 6 months) | Healthcare | PMBOK
[31132] Innovative Product Development | Software Development | Small (< 6 months) | Healthcare | PRINCE2
[31133] Innovative Product Development | Software Development | Small (< 6 months) | Healthcare | ISO Standards
[31141] Innovative Product Development | Software Development | Small (< 6 months) | Finance | PMBOK
[31142] Innovative Product Development | Software Development | Small (< 6 months) | Finance | PRINCE2
[31143] Innovative Product Development | Software Development | Small (< 6 months) | Finance | ISO Standards
[31151] Innovative Product Development | Software Development | Small (< 6 months) | Education | PMBOK
[31152] Innovative Product Development | Software Development | Small (< 6 months) | Education | PRINCE2
[31153] Innovative Product Development | Software Development | Small (< 6 months) | Education | ISO Standards
[31211] Innovative Product Development | Software Development | Medium (6-18 months) | Information Technology | PMBOK
[31212] Innovative Product Development | Software Development | Medium (6-18 months) | Information Technology | PRINCE2
[31213] Innovative Product Development | Software Development | Medium (6-18 months) | Information Technology | ISO Standards
[31221] Innovative Product Development | Software Development | Medium (6-18 months) | Construction | PMBOK
[31222] Innovative Product Development | Software Development | Medium (6-18 months) | Construction | PRINCE2
[31223] Innovative Product Development | Software Development | Medium (6-18 months) | Construction | ISO Standards
[31231] Innovative Product Development | Software Development | Medium (6-18 months) | Healthcare | PMBOK
[31232] Innovative Product Development | Software Development | Medium (6-18 months) | Healthcare | PRINCE2
[31233] Innovative Product Development | Software Development | Medium (6-18 months) | Healthcare | ISO Standards
[31241] Innovative Product Development | Software Development | Medium (6-18 months) | Finance | PMBOK
[31242] Innovative Product Development | Software Development | Medium (6-18 months) | Finance | PRINCE2
[31243] Innovative Product Development | Software Development | Medium (6-18 months) | Finance | ISO Standards
[31251] Innovative Product Development | Software Development | Medium (6-18 months) | Education | PMBOK
[31252] Innovative Product Development | Software Development | Medium (6-18 months) | Education | PRINCE2
[31253] Innovative Product Development | Software Development | Medium (6-18 months) | Education | ISO Standards
[31311] Innovative Product Development | Software Development | Large (> 18 months) | Information Technology | PMBOK
[31312] Innovative Product Development | Software Development | Large (> 18 months) | Information Technology | PRINCE2
[31313] Innovative Product Development | Software Development | Large (> 18 months) | Information Technology | ISO Standards
[31321] Innovative Product Development | Software Development | Large (> 18 months) | Construction | PMBOK
[31322] Innovative Product Development | Software Development | Large (> 18 months) | Construction | PRINCE2
[31323] Innovative Product Development | Software Development | Large (> 18 months) | Construction | ISO Standards
[31331] Innovative Product Development | Software Development | Large (> 18 months) | Healthcare | PMBOK
[31332] Innovative Product Development | Software Development | Large (> 18 months) | Healthcare | PRINCE2
[31333] Innovative Product Development | Software Development | Large (> 18 months) | Healthcare | ISO Standards
[31341] Innovative Product Development | Software Development | Large (> 18 months) | Finance | PMBOK
[31342] Innovative Product Development | Software Development | Large (> 18 months) | Finance | PRINCE2
[31343] Innovative Product Development | Software Development | Large (> 18 months) | Finance | ISO Standards
[31351] Innovative Product Development | Software Development | Large (> 18 months) | Education | PMBOK
[31352] Innovative Product Development | Software Development | Large (> 18 months) | Education | PRINCE2
[31353] Innovative Product Development | Software Development | Large (> 18 months) | Education | ISO Standards
[32112] Innovative Product Development | Construction | Small (< 6 months) | Information Technology | PRINCE2
[32113] Innovative Product Development | Construction | Small (< 6 months) | Information Technology | ISO Standards
[32122] Innovative Product Development | Construction | Small (< 6 months) | Construction | PRINCE2
[32123] Innovative Product Development | Construction | Small (< 6 months) | Construction | ISO Standards
[32132] Innovative Product Development | Construction | Small (< 6 months) | Healthcare | PRINCE2
[32133] Innovative Product Development | Construction | Small (< 6 months) | Healthcare | ISO Standards
[32142] Innovative Product Development | Construction | Small (< 6 months) | Finance | PRINCE2
[32143] Innovative Product Development | Construction | Small (< 6 months) | Finance | ISO Standards
[32152] Innovative Product Development | Construction | Small (< 6 months) | Education | PRINCE2
[32153] Innovative Product Development | Construction | Small (< 6 months) | Education | ISO Standards
[32212] Innovative Product Development | Construction | Medium (6-18 months) | Information Technology | PRINCE2
[32213] Innovative Product Development | Construction | Medium (6-18 months) | Information Technology | ISO Standards
[32222] Innovative Product Development | Construction | Medium (6-18 months) | Construction | PRINCE2
[32223] Innovative Product Development | Construction | Medium (6-18 months) | Construction | ISO Standards
[32232] Innovative Product Development | Construction | Medium (6-18 months) | Healthcare | PRINCE2
[32233] Innovative Product Development | Construction | Medium (6-18 months) | Healthcare | ISO Standards
[32242] Innovative Product Development | Construction | Medium (6-18 months) | Finance | PRINCE2
[32243] Innovative Product Development | Construction | Medium (6-18 months) | Finance | ISO Standards
[32252] Innovative Product Development | Construction | Medium (6-18 months) | Education | PRINCE2
[32253] Innovative Product Development | Construction | Medium (6-18 months) | Education | ISO Standards
[32312] Innovative Product Development | Construction | Large (> 18 months) | Information Technology | PRINCE2
[32313] Innovative Product Development | Construction | Large (> 18 months) | Information Technology | ISO Standards
[32322] Innovative Product Development | Construction | Large (> 18 months) | Construction | PRINCE2
[32323] Innovative Product Development | Construction | Large (> 18 months) | Construction | ISO Standards
[32332] Innovative Product Development | Construction | Large (> 18 months) | Healthcare | PRINCE2
[32333] Innovative Product Development | Construction | Large (> 18 months) | Healthcare | ISO Standards
[32342] Innovative Product Development | Construction | Large (> 18 months) | Finance | PRINCE2
[32343] Innovative Product Development | Construction | Large (> 18 months) | Finance | ISO Standards
[32352] Innovative Product Development | Construction | Large (> 18 months) | Education | PRINCE2
[32353] Innovative Product Development | Construction | Large (> 18 months) | Education | ISO Standards
[33111] Innovative Product Development | Research | Small (< 6 months) | Information Technology | PMBOK
[33112] Innovative Product Development | Research | Small (< 6 months) | Information Technology | PRINCE2
[33113] Innovative Product Development | Research | Small (< 6 months) | Information Technology | ISO Standards
[33121] Innovative Product Development | Research | Small (< 6 months) | Construction | PMBOK
[33122] Innovative Product Development | Research | Small (< 6 months) | Construction | PRINCE2
[33123] Innovative Product Development | Research | Small (< 6 months) | Construction | ISO Standards
[33131] Innovative Product Development | Research | Small (< 6 months) | Healthcare | PMBOK
[33132] Innovative Product Development | Research | Small (< 6 months) | Healthcare | PRINCE2
[33133] Innovative Product Development | Research | Small (< 6 months) | Healthcare | ISO Standards
[33141] Innovative Product Development | Research | Small (< 6 months) | Finance | PMBOK
[33142] Innovative Product Development | Research | Small (< 6 months) | Finance | PRINCE2
[33143] Innovative Product Development | Research | Small (< 6 months) | Finance | ISO Standards
[33151] Innovative Product Development | Research | Small (< 6 months) | Education | PMBOK
[33152] Innovative Product Development | Research | Small (< 6 months) | Education | PRINCE2
[33153] Innovative Product Development | Research | Small (< 6 months) | Education | ISO Standards
[33211] Innovative Product Development | Research | Medium (6-18 months) | Information Technology | PMBOK
[33212] Innovative Product Development | Research | Medium (6-18 months) | Information Technology | PRINCE2
[33213] Innovative Product Development | Research | Medium (6-18 months) | Information Technology | ISO Standards
[33221] Innovative Product Development | Research | Medium (6-18 months) | Construction | PMBOK
[33222] Innovative Product Development | Research | Medium (6-18 months) | Construction | PRINCE2
[33223] Innovative Product Development | Research | Medium (6-18 months) | Construction | ISO Standards
[33231] Innovative Product Development | Research | Medium (6-18 months) | Healthcare | PMBOK
[33232] Innovative Product Development | Research | Medium (6-18 months) | Healthcare | PRINCE2
[33233] Innovative Product Development | Research | Medium (6-18 months) | Healthcare | ISO Standards
[33241] Innovative Product Development | Research | Medium (6-18 months) | Finance | PMBOK
[33242] Innovative Product Development | Research | Medium (6-18 months) | Finance | PRINCE2
[33243] Innovative Product Development | Research | Medium (6-18 months) | Finance | ISO Standards
[33251] Innovative Product Development | Research | Medium (6-18 months) | Education | PMBOK
[33252] Innovative Product Development | Research | Medium (6-18 months) | Education | PRINCE2
[33253] Innovative Product Development | Research | Medium (6-18 months) | Education | ISO Standards
[33311] Innovative Product Development | Research | Large (> 18 months) | Information Technology | PMBOK
[33312] Innovative Product Development | Research | Large (> 18 months) | Information Technology | PRINCE2
[33313] Innovative Product Development | Research | Large (> 18 months) | Information Technology | ISO Standards
[33321] Innovative Product Development | Research | Large (> 18 months) | Construction | PMBOK
[33322] Innovative Product Development | Research | Large (> 18 months) | Construction | PRINCE2
[33323] Innovative Product Development | Research | Large (> 18 months) | Construction | ISO Standards
[33331] Innovative Product Development | Research | Large (> 18 months) | Healthcare | PMBOK
[33332] Innovative Product Development | Research | Large (> 18 months) | Healthcare | PRINCE2
[33333] Innovative Product Development | Research | Large (> 18 months) | Healthcare | ISO Standards
[33341] Innovative Product Development | Research | Large (> 18 months) | Finance | PMBOK
[33342] Innovative Product Development | Research | Large (> 18 months) | Finance | PRINCE2
[33343] Innovative Product Development | Research | Large (> 18 months) | Finance | ISO Standards
[33351] Innovative Product Development | Research | Large (> 18 months) | Education | PMBOK
[33352] Innovative Product Development | Research | Large (> 18 months) | Education | PRINCE2
[33353] Innovative Product Development | Research | Large (> 18 months) | Education | ISO Standards
[34111] Innovative Product Development | Marketing | Small (< 6 months) | Information Technology | PMBOK
[34112] Innovative Product Development | Marketing | Small (< 6 months) | Information Technology | PRINCE2
[34113] Innovative Product Development | Marketing | Small (< 6 months) | Information Technology | ISO Standards
[34121] Innovative Product Development | Marketing | Small (< 6 months) | Construction | PMBOK
[34122] Innovative Product Development | Marketing | Small (< 6 months) | Construction | PRINCE2
[34123] Innovative Product Development | Marketing | Small (< 6 months) | Construction | ISO Standards
[34131] Innovative Product Development | Marketing | Small (< 6 months) | Healthcare | PMBOK
[34132] Innovative Product Development | Marketing | Small (< 6 months) | Healthcare | PRINCE2
[34133] Innovative Product Development | Marketing | Small (< 6 months) | Healthcare | ISO Standards
[34142] Innovative Product Development | Marketing | Small (< 6 months) | Finance | PRINCE2
[34143] Innovative Product Development | Marketing | Small (< 6 months) | Finance | ISO Standards
[34152] Innovative Product Development | Marketing | Small (< 6 months) | Education | PRINCE2
[34153] Innovative Product Development | Marketing | Small (< 6 months) | Education | ISO Standards
[34211] Innovative Product Development | Marketing | Medium (6-18 months) | Information Technology | PMBOK
[34212] Innovative Product Development | Marketing | Medium (6-18 months) | Information Technology | PRINCE2
[34213] Innovative Product Development | Marketing | Medium (6-18 months) | Information Technology | ISO Standards
[34221] Innovative Product Development | Marketing | Medium (6-18 months) | Construction | PMBOK
[34222] Innovative Product Development | Marketing | Medium (6-18 months) | Construction | PRINCE2
[34223] Innovative Product Development | Marketing | Medium (6-18 months) | Construction | ISO Standards
[34231] Innovative Product Development | Marketing | Medium (6-18 months) | Healthcare | PMBOK
[34232] Innovative Product Development | Marketing | Medium (6-18 months) | Healthcare | PRINCE2
[34233] Innovative Product Development | Marketing | Medium (6-18 months) | Healthcare | ISO Standards
[34241] Innovative Product Development | Marketing | Medium (6-18 months) | Finance | PMBOK
[34242] Innovative Product Development | Marketing | Medium (6-18 months) | Finance | PRINCE2
[34243] Innovative Product Development | Marketing | Medium (6-18 months) | Finance | ISO Standards
[34252] Innovative Product Development | Marketing | Medium (6-18 months) | Education | PRINCE2
[34253] Innovative Product Development | Marketing | Medium (6-18 months) | Education | ISO Standards
[34311] Innovative Product Development | Marketing | Large (> 18 months) | Information Technology | PMBOK
[34312] Innovative Product Development | Marketing | Large (> 18 months) | Information Technology | PRINCE2
[34313] Innovative Product Development | Marketing | Large (> 18 months) | Information Technology | ISO Standards
[34321] Innovative Product Development | Marketing | Large (> 18 months) | Construction | PMBOK
[34322] Innovative Product Development | Marketing | Large (> 18 months) | Construction | PRINCE2
[34323] Innovative Product Development | Marketing | Large (> 18 months) | Construction | ISO Standards
[34331] Innovative Product Development | Marketing | Large (> 18 months) | Healthcare | PMBOK
[34332] Innovative Product Development | Marketing | Large (> 18 months) | Healthcare | PRINCE2
[34333] Innovative Product Development | Marketing | Large (> 18 months) | Healthcare | ISO Standards
[34341] Innovative Product Development | Marketing | Large (> 18 months) | Finance | PMBOK
[34342] Innovative Product Development | Marketing | Large (> 18 months) | Finance | PRINCE2
[34343] Innovative Product Development | Marketing | Large (> 18 months) | Finance | ISO Standards
[34351] Innovative Product Development | Marketing | Large (> 18 months) | Education | PMBOK
[34352] Innovative Product Development | Marketing | Large (> 18 months) | Education | PRINCE2
[34353] Innovative Product Development | Marketing | Large (> 18 months) | Education | ISO Standards
[35111] Innovative Product Development | Infrastructure | Small (< 6 months) | Information Technology | PMBOK
[35112] Innovative Product Development | Infrastructure | Small (< 6 months) | Information Technology | PRINCE2
[35113] Innovative Product Development | Infrastructure | Small (< 6 months) | Information Technology | ISO Standards
[35121] Innovative Product Development | Infrastructure | Small (< 6 months) | Construction | PMBOK
[35122] Innovative Product Development | Infrastructure | Small (< 6 months) | Construction | PRINCE2
[35123] Innovative Product Development | Infrastructure | Small (< 6 months) | Construction | ISO Standards
[35131] Innovative Product Development | Infrastructure | Small (< 6 months) | Healthcare | PMBOK
[35132] Innovative Product Development | Infrastructure | Small (< 6 months) | Healthcare | PRINCE2
[35133] Innovative Product Development | Infrastructure | Small (< 6 months) | Healthcare | ISO Standards
[35141] Innovative Product Development | Infrastructure | Small (< 6 months) | Finance | PMBOK
[35142] Innovative Product Development | Infrastructure | Small (< 6 months) | Finance | PRINCE2
[35143] Innovative Product Development | Infrastructure | Small (< 6 months) | Finance | ISO Standards
[35151] Innovative Product Development | Infrastructure | Small (< 6 months) | Education | PMBOK
[35152] Innovative Product Development | Infrastructure | Small (< 6 months) | Education | PRINCE2
[35153] Innovative Product Development | Infrastructure | Small (< 6 months) | Education | ISO Standards
[35211] Innovative Product Development | Infrastructure | Medium (6-18 months) | Information Technology | PMBOK
[35212] Innovative Product Development | Infrastructure | Medium (6-18 months) | Information Technology | PRINCE2
[35213] Innovative Product Development | Infrastructure | Medium (6-18 months) | Information Technology | ISO Standards
[35221] Innovative Product Development | Infrastructure | Medium (6-18 months) | Construction | PMBOK
[35222] Innovative Product Development | Infrastructure | Medium (6-18 months) | Construction | PRINCE2
[35223] Innovative Product Development | Infrastructure | Medium (6-18 months) | Construction | ISO Standards
[35231] Innovative Product Development | Infrastructure | Medium (6-18 months) | Healthcare | PMBOK
[35232] Innovative Product Development | Infrastructure | Medium (6-18 months) | Healthcare | PRINCE2
[35233] Innovative Product Development | Infrastructure | Medium (6-18 months) | Healthcare | ISO Standards
[35241] Innovative Product Development | Infrastructure | Medium (6-18 months) | Finance | PMBOK
[35242] Innovative Product Development | Infrastructure | Medium (6-18 months) | Finance | PRINCE2
[35243] Innovative Product Development | Infrastructure | Medium (6-18 months) | Finance | ISO Standards
[35251] Innovative Product Development | Infrastructure | Medium (6-18 months) | Education | PMBOK
[35252] Innovative Product Development | Infrastructure | Medium (6-18 months) | Education | PRINCE2
[35253] Innovative Product Development | Infrastructure | Medium (6-18 months) | Education | ISO Standards
[35311] Innovative Product Development | Infrastructure | Large (> 18 months) | Information Technology | PMBOK
[35312] Innovative Product Development | Infrastructure | Large (> 18 months) | Information Technology | PRINCE2
[35313] Innovative Product Development | Infrastructure | Large (> 18 months) | Information Technology | ISO Standards
[35321] Innovative Product Development | Infrastructure | Large (> 18 months) | Construction | PMBOK
[35322] Innovative Product Development | Infrastructure | Large (> 18 months) | Construction | PRINCE2
[35323] Innovative Product Development | Infrastructure | Large (> 18 months) | Construction | ISO Standards
[35331] Innovative Product Development | Infrastructure | Large (> 18 months) | Healthcare | PMBOK
[35332] Innovative Product Development | Infrastructure | Large (> 18 months) | Healthcare | PRINCE2
[35333] Innovative Product Development | Infrastructure | Large (> 18 months) | Healthcare | ISO Standards
[35341] Innovative Product Development | Infrastructure | Large (> 18 months) | Finance | PMBOK
[35342] Innovative Product Development | Infrastructure | Large (> 18 months) | Finance | PRINCE2
[35343] Innovative Product Development | Infrastructure | Large (> 18 months) | Finance | ISO Standards
[35351] Innovative Product Development | Infrastructure | Large (> 18 months) | Education | PMBOK
[35352] Innovative Product Development | Infrastructure | Large (> 18 months) | Education | PRINCE2
[35353] Innovative Product Development | Infrastructure | Large (> 18 months) | Education | ISO Standards
[41111] Large Government Project | Software Development | Small (< 6 months) | Information Technology | PMBOK
[41112] Large Government Project | Software Development | Small (< 6 months) | Information Technology | PRINCE2
[41113] Large Government Project | Software Development | Small (< 6 months) | Information Technology | ISO Standards
[41121] Large Government Project | Software Development | Small (< 6 months) | Construction | PMBOK
[41122] Large Government Project | Software Development | Small (< 6 months) | Construction | PRINCE2
[41123] Large Government Project | Software Development | Small (< 6 months) | Construction | ISO Standards
[41131] Large Government Project | Software Development | Small (< 6 months) | Healthcare | PMBOK
[41132] Large Government Project | Software Development | Small (< 6 months) | Healthcare | PRINCE2
[41133] Large Government Project | Software Development | Small (< 6 months) | Healthcare | ISO Standards
[41141] Large Government Project | Software Development | Small (< 6 months) | Finance | PMBOK
[41142] Large Government Project | Software Development | Small (< 6 months) | Finance | PRINCE2
[41143] Large Government Project | Software Development | Small (< 6 months) | Finance | ISO Standards
[41152] Large Government Project | Software Development | Small (< 6 months) | Education | PRINCE2
[41153] Large Government Project | Software Development | Small (< 6 months) | Education | ISO Standards
[41211] Large Government Project | Software Development | Medium (6-18 months) | Information Technology | PMBOK
[41212] Large Government Project | Software Development | Medium (6-18 months) | Information Technology | PRINCE2
[41213] Large Government Project | Software Development | Medium (6-18 months) | Information Technology | ISO Standards
[41221] Large Government Project | Software Development | Medium (6-18 months) | Construction | PMBOK
[41222] Large Government Project | Software Development | Medium (6-18 months) | Construction | PRINCE2
[41223] Large Government Project | Software Development | Medium (6-18 months) | Construction | ISO Standards
[41231] Large Government Project | Software Development | Medium (6-18 months) | Healthcare | PMBOK
[41232] Large Government Project | Software Development | Medium (6-18 months) | Healthcare | PRINCE2
[41233] Large Government Project | Software Development | Medium (6-18 months) | Healthcare | ISO Standards
[41241] Large Government Project | Software Development | Medium (6-18 months) | Finance | PMBOK
[41242] Large Government Project | Software Development | Medium (6-18 months) | Finance | PRINCE2
[41251] Large Government Project | Software Development | Medium (6-18 months) | Education | PMBOK
[41252] Large Government Project | Software Development | Medium (6-18 months) | Education | PRINCE2
[41253] Large Government Project | Software Development | Medium (6-18 months) | Education | ISO Standards
[41311] Large Government Project | Software Development | Large (> 18 months) | Information Technology | PMBOK
[41312] Large Government Project | Software Development | Large (> 18 months) | Information Technology | PRINCE2
[41313] Large Government Project | Software Development | Large (> 18 months) | Information Technology | ISO Standards
[41321] Large Government Project | Software Development | Large (> 18 months) | Construction | PMBOK
[41322] Large Government Project | Software Development | Large (> 18 months) | Construction | PRINCE2
[41323] Large Government Project | Software Development | Large (> 18 months) | Construction | ISO Standards
[41331] Large Government Project | Software Development | Large (> 18 months) | Healthcare | PMBOK
[41332] Large Government Project | Software Development | Large (> 18 months) | Healthcare | PRINCE2
[41333] Large Government Project | Software Development | Large (> 18 months) | Healthcare | ISO Standards
[41341] Large Government Project | Software Development | Large (> 18 months) | Finance | PMBOK
[41342] Large Government Project | Software Development | Large (> 18 months) | Finance | PRINCE2
[41343] Large Government Project | Software Development | Large (> 18 months) | Finance | ISO Standards
[41351] Large Government Project | Software Development | Large (> 18 months) | Education | PMBOK
[41352] Large Government Project | Software Development | Large (> 18 months) | Education | PRINCE2
[41353] Large Government Project | Software Development | Large (> 18 months) | Education | ISO Standards
[42112] Large Government Project | Construction | Small (< 6 months) | Information Technology | PRINCE2
[42113] Large Government Project | Construction | Small (< 6 months) | Information Technology | ISO Standards
[42122] Large Government Project | Construction | Small (< 6 months) | Construction | PRINCE2
[42123] Large Government Project | Construction | Small (< 6 months) | Construction | ISO Standards
[42132] Large Government Project | Construction | Small (< 6 months) | Healthcare | PRINCE2
[42133] Large Government Project | Construction | Small (< 6 months) | Healthcare | ISO Standards
[42142] Large Government Project | Construction | Small (< 6 months) | Finance | PRINCE2
[42143] Large Government Project | Construction | Small (< 6 months) | Finance | ISO Standards
[42152] Large Government Project | Construction | Small (< 6 months) | Education | PRINCE2
[42153] Large Government Project | Construction | Small (< 6 months) | Education | ISO Standards
[42212] Large Government Project | Construction | Medium (6-18 months) | Information Technology | PRINCE2
[42213] Large Government Project | Construction | Medium (6-18 months) | Information Technology | ISO Standards
[42222] Large Government Project | Construction | Medium (6-18 months) | Construction | PRINCE2
[42223] Large Government Project | Construction | Medium (6-18 months) | Construction | ISO Standards
[42232] Large Government Project | Construction | Medium (6-18 months) | Healthcare | PRINCE2
[42233] Large Government Project | Construction | Medium (6-18 months) | Healthcare | ISO Standards
[42242] Large Government Project | Construction | Medium (6-18 months) | Finance | PRINCE2
[42243] Large Government Project | Construction | Medium (6-18 months) | Finance | ISO Standards
[42252] Large Government Project | Construction | Medium (6-18 months) | Education | PRINCE2
[42253] Large Government Project | Construction | Medium (6-18 months) | Education | ISO Standards
[42312] Large Government Project | Construction | Large (> 18 months) | Information Technology | PRINCE2
[42313] Large Government Project | Construction | Large (> 18 months) | Information Technology | ISO Standards
[42322] Large Government Project | Construction | Large (> 18 months) | Construction | PRINCE2
[42323] Large Government Project | Construction | Large (> 18 months) | Construction | ISO Standards
[42332] Large Government Project | Construction | Large (> 18 months) | Healthcare | PRINCE2
[42333] Large Government Project | Construction | Large (> 18 months) | Healthcare | ISO Standards
[42342] Large Government Project | Construction | Large (> 18 months) | Finance | PRINCE2
[42343] Large Government Project | Construction | Large (> 18 months) | Finance | ISO Standards
[42352] Large Government Project | Construction | Large (> 18 months) | Education | PRINCE2
